Rotation,Scale,name_of_to,district,state,ELEVATION,Lat,Long
0,0.000000000000000,BAKLIYA,NAGAUR,RAJASTHAN,0,27.5361004,74.4574966
0,0.000000000000000,JYAK,CHURU,RAJASTHAN,0,27.6000004,74.0366974
0,0.000000000000000,GUNDUSAR,CHURU,RAJASTHAN,0,27.6252003,74.1239014
0,0.000000000000000,NYARA,CHURU,RAJASTHAN,0,27.6835995,74.0792999
0,0.000000000000000,KUNPALSAR,CHURU,RAJASTHAN,0,27.8094006,74.0690002
0,0.000000000000000,SONIYASAR,CHURU,RAJASTHAN,0,27.7595005,74.0253983
0,0.000000000000000,BORWA,NAGAUR,RAJASTHAN,0,27.0732994,73.9625015
0,0.000000000000000,SOMNA,NAGAUR,RAJASTHAN,0,27.2432003,73.9473038
0,0.000000000000000,BHADANA,NAGAUR,RAJASTHAN,0,27.2667007,73.8150024
0,0.000000000000000,BASNI BELIMA,NAGAUR,RAJASTHAN,0,27.1658001,73.6404037
0,0.000000000000000,SINGAR,NAGAUR,RAJASTHAN,0,27.2096996,73.6194000
0,0.000000000000000,PHEROD,NAGAUR,RAJASTHAN,0,27.0907993,73.7181015
0,0.000000000000000,MUNDWA,NAGAUR,RAJASTHAN,0,27.0613003,73.8294983
0,0.000000000000000,BOL QARISO,NAGAUR,RAJASTHAN,0,27.1585999,73.9246979
